CMDLINE /Users/andrea/anaconda3/envs/General/bin/python3.11 main.py
MEM 2543.734375 1763672296.4815
MEM 2543.734375 1763672296.5865
MEM 2543.734375 1763672296.6900
MEM 2543.734375 1763672296.7951
MEM 2544.546875 1763672296.9001
MEM 2544.546875 1763672297.0051
MEM 2544.546875 1763672297.1103
MEM 2544.546875 1763672297.2154
MEM 2544.546875 1763672297.3204
MEM 2544.546875 1763672297.4254
MEM 2544.546875 1763672297.5305
MEM 2544.546875 1763672297.6355
MEM 2544.546875 1763672297.7405
MEM 2544.546875 1763672297.8456
MEM 2544.546875 1763672297.9457
MEM 2544.546875 1763672298.0490
MEM 2544.546875 1763672298.1540
MEM 2544.546875 1763672298.2591
MEM 2544.546875 1763672298.3621
MEM 2544.546875 1763672298.4671
MEM 2544.546875 1763672298.5722
MEM 2544.546875 1763672298.6751
MEM 2544.546875 1763672298.7802
MEM 2544.546875 1763672298.8853
MEM 2544.546875 1763672298.9858
MEM 2544.546875 1763672299.0909
MEM 2544.546875 1763672299.1959
MEM 2544.546875 1763672299.3010
MEM 2544.546875 1763672299.4041
MEM 2544.546875 1763672299.5092
MEM 2544.546875 1763672299.6126
MEM 2544.546875 1763672299.7177
MEM 2544.546875 1763672299.8228
MEM 2544.546875 1763672299.9279
MEM 2544.546875 1763672300.0329
MEM 2544.546875 1763672300.1380
MEM 2544.546875 1763672300.2431
MEM 2544.546875 1763672300.3473
MEM 2544.546875 1763672300.4499
MEM 2544.546875 1763672300.5538
MEM 2544.546875 1763672300.6589
MEM 2544.546875 1763672300.7640
MEM 2544.546875 1763672300.8683
MEM 2544.546875 1763672300.9733
MEM 2544.546875 1763672301.0785
MEM 2544.546875 1763672301.1836
MEM 2544.546875 1763672301.2886
MEM 2544.546875 1763672301.3936
MEM 2544.546875 1763672301.4987
MEM 2544.546875 1763672301.6033
MEM 2544.546875 1763672301.7035
MEM 2544.546875 1763672301.8084
MEM 2544.546875 1763672301.9134
MEM 2544.546875 1763672302.0184
MEM 2544.546875 1763672302.1232
MEM 2544.546875 1763672302.2283
MEM 2544.546875 1763672302.3333
MEM 2544.546875 1763672302.4352
MEM 2544.546875 1763672302.5402
MEM 2544.546875 1763672302.6453
MEM 2544.546875 1763672302.7504
MEM 2544.546875 1763672302.8554
MEM 2544.546875 1763672302.9605
MEM 2544.546875 1763672303.0655
MEM 2544.546875 1763672303.1706
MEM 2544.546875 1763672303.2726
MEM 2544.546875 1763672303.3776
MEM 2544.546875 1763672303.4828
MEM 2544.546875 1763672303.5879
MEM 2544.546875 1763672303.6929
MEM 2544.546875 1763672303.7980
MEM 2544.546875 1763672303.9030
MEM 2544.546875 1763672304.0081
MEM 2544.546875 1763672304.1131
MEM 2544.546875 1763672304.2181
MEM 2544.546875 1763672304.3231
MEM 2544.546875 1763672304.4249
MEM 2544.703125 1763672304.5300
MEM 2544.703125 1763672304.6352
MEM 2544.703125 1763672304.7379
MEM 2544.703125 1763672304.8431
MEM 2544.703125 1763672304.9472
MEM 2544.703125 1763672305.0522
MEM 2545.359375 1763672305.1565
MEM 2545.359375 1763672305.2616
MEM 2545.359375 1763672305.3667
MEM 2545.359375 1763672305.4680
MEM 2545.359375 1763672305.5714
MEM 2545.359375 1763672305.6764
MEM 2545.359375 1763672305.7813
MEM 2545.359375 1763672305.8863
MEM 2545.359375 1763672305.9899
MEM 2545.359375 1763672306.0950
MEM 2545.359375 1763672306.2001
MEM 2545.359375 1763672306.3040
MEM 2545.359375 1763672306.4083
MEM 2545.625000 1763672306.5134
MEM 2545.625000 1763672306.6135
MEM 2545.625000 1763672306.7185
MEM 2545.625000 1763672306.8236
MEM 2545.625000 1763672306.9248
MEM 2545.625000 1763672307.0299
MEM 2545.625000 1763672307.1350
MEM 2545.625000 1763672307.2366
MEM 2545.625000 1763672307.3381
MEM 2545.625000 1763672307.4432
MEM 2545.625000 1763672307.5482
MEM 2545.625000 1763672307.6532
MEM 2545.625000 1763672307.7583
MEM 2545.625000 1763672307.8603
MEM 2545.625000 1763672307.9653
MEM 2545.625000 1763672308.0704
MEM 2545.625000 1763672308.1754
MEM 2545.625000 1763672308.2805
MEM 2545.625000 1763672308.3840
MEM 2545.625000 1763672308.4843
MEM 2545.796875 1763672308.5894
MEM 2545.796875 1763672308.6944
MEM 2545.796875 1763672308.7959
MEM 2545.796875 1763672308.9010
MEM 2545.796875 1763672309.0059
MEM 2545.796875 1763672309.1110
MEM 2545.796875 1763672309.2161
MEM 2545.875000 1763672309.3211
MEM 2545.875000 1763672309.4259
MEM 2545.875000 1763672309.5310
MEM 2545.875000 1763672309.6333
MEM 2545.875000 1763672309.7359
MEM 2545.875000 1763672309.8410
MEM 2545.875000 1763672309.9462
MEM 2546.281250 1763672310.0512
MEM 2546.281250 1763672310.1563
MEM 2546.281250 1763672310.2613
MEM 2546.281250 1763672310.3664
MEM 2546.281250 1763672310.4714
MEM 2546.281250 1763672310.5765
MEM 2546.281250 1763672310.6815
MEM 2546.281250 1763672310.7817
MEM 2546.281250 1763672310.8868
MEM 2546.281250 1763672310.9919
MEM 2546.281250 1763672311.0969
MEM 2546.281250 1763672311.1991
MEM 2546.281250 1763672311.3041
MEM 2546.359375 1763672311.4092
MEM 2546.359375 1763672311.5142
MEM 2546.359375 1763672311.6166
MEM 2546.359375 1763672311.7202
MEM 2546.359375 1763672311.8241
MEM 2546.359375 1763672311.9292
MEM 2546.359375 1763672312.0342
MEM 2546.359375 1763672312.1392
MEM 2546.359375 1763672312.2443
MEM 2546.359375 1763672312.3493
MEM 2546.359375 1763672312.4544
MEM 2546.359375 1763672312.5560
MEM 2546.359375 1763672312.6597
MEM 2546.359375 1763672312.7648
MEM 2546.359375 1763672312.8699
MEM 2546.359375 1763672312.9748
MEM 2546.359375 1763672313.0798
MEM 2546.359375 1763672313.1813
MEM 2546.359375 1763672313.2864
MEM 2546.359375 1763672313.3914
MEM 2546.359375 1763672313.4915
MEM 2546.359375 1763672313.5966
MEM 2546.359375 1763672313.6999
MEM 2546.359375 1763672313.8049
MEM 2546.359375 1763672313.9100
MEM 2546.359375 1763672314.0150
MEM 2546.359375 1763672314.1201
MEM 2546.359375 1763672314.2206
MEM 2546.359375 1763672314.3257
MEM 2546.359375 1763672314.4290
MEM 2546.359375 1763672314.5341
MEM 2546.359375 1763672314.6373
MEM 2546.359375 1763672314.7401
MEM 2546.359375 1763672314.8450
MEM 2546.359375 1763672314.9501
MEM 2546.359375 1763672315.0552
MEM 2546.359375 1763672315.1602
MEM 2546.359375 1763672315.2652
MEM 2546.359375 1763672315.3704
MEM 2546.359375 1763672315.4707
MEM 2546.359375 1763672315.5715
MEM 2546.359375 1763672315.6766
MEM 2546.359375 1763672315.7816
MEM 2546.359375 1763672315.8867
MEM 2546.359375 1763672315.9917
MEM 2546.359375 1763672316.0967
MEM 2546.359375 1763672316.2017
MEM 2546.359375 1763672316.3069
MEM 2546.359375 1763672316.4121
MEM 2546.359375 1763672316.5171
MEM 2546.359375 1763672316.6222
MEM 2546.359375 1763672316.7272
MEM 2546.359375 1763672316.8292
MEM 2546.359375 1763672316.9344
MEM 2546.359375 1763672317.0374
MEM 2546.359375 1763672317.1378
MEM 2546.359375 1763672317.2428
MEM 2546.359375 1763672317.3479
MEM 2546.359375 1763672317.4529
MEM 2546.359375 1763672317.5579
MEM 2546.359375 1763672317.6630
MEM 2546.359375 1763672317.7675
MEM 2546.359375 1763672317.8723
MEM 2546.359375 1763672317.9774
MEM 2546.359375 1763672318.0824
MEM 2546.359375 1763672318.1876
MEM 2546.359375 1763672318.2927
MEM 2546.359375 1763672318.3978
MEM 2546.359375 1763672318.5029
MEM 2546.359375 1763672318.6079
MEM 2546.359375 1763672318.7115
MEM 2546.359375 1763672318.8165
MEM 2546.359375 1763672318.9177
MEM 2546.359375 1763672319.0229
MEM 2546.359375 1763672319.1250
MEM 2546.343750 1763672319.2300
MEM 2546.343750 1763672319.3351
MEM 2546.343750 1763672319.4401
MEM 2546.343750 1763672319.5452
MEM 2546.343750 1763672319.6486
MEM 2546.343750 1763672319.7494
MEM 2546.343750 1763672319.8533
MEM 2546.343750 1763672319.9583
MEM 2546.343750 1763672320.0635
MEM 2546.343750 1763672320.1685
MEM 2546.343750 1763672320.2723
MEM 2546.343750 1763672320.3774
MEM 2546.343750 1763672320.4825
MEM 2546.343750 1763672320.5875
MEM 2546.343750 1763672320.6925
MEM 2546.343750 1763672320.7976
MEM 2546.343750 1763672320.9028
MEM 2546.343750 1763672321.0079
MEM 2546.343750 1763672321.1130
MEM 2546.343750 1763672321.2180
MEM 2546.343750 1763672321.3231
